Player,Nation,Pos,Age,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Gls,Ast,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,Team,total_points,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,selected_by_percent,now_cost,element_type
Callum Hudson-Odoi,eng ENG,"FW,MF",22.0,20,1854.0,20.6,8.0,1.0,8.0,0.0,0.0,0.0,0.0,2.7,2.7,2.8,111.0,58.0,171.0,0.39,0.05,0.39,0.44,0.13,0.14,0.27,0.13,NottinghamForest,109,41,514.2,489.0,444.0,14,371,145.0,2,0.8,47,MID
Chris Wood,nz NZL,FW,31.0,20,1812.0,20.1,14.0,1.0,14.0,0.0,0.0,0.0,0.0,11.9,11.9,2.1,16.0,30.0,76.0,0.7,0.05,0.7,0.75,0.59,0.1,0.7,0.59,NottinghamForest,131,34,281.1,598.2,795.0,22,456,167.4,2,1.7,47,FWD
Orel Mangala,be BEL,MF,25.0,19,1563.0,17.4,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.8,0.8,0.2,13.0,45.0,14.0,0.06,0.0,0.06,0.06,0.05,0.01,0.06,0.05,NottinghamForest,40,31,108.7,208.0,44.0,0,186,36.0,3,0.0,50,MID
Nicolás Domínguez,ar ARG,"MF,FW",25.0,19,1495.0,16.6,2.0,2.0,2.0,0.0,0.0,4.0,0.0,1.3,1.3,1.0,14.0,91.0,43.0,0.12,0.12,0.12,0.24,0.08,0.06,0.14,0.08,NottinghamForest,67,27,176.2,340.4,187.0,6,276,70.6,6,0.0,50,MID
Neco Williams,wls WAL,DF,22.0,18,1637.0,18.2,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,1.6,48.0,47.0,86.0,0.0,0.05,0.0,0.05,0.04,0.09,0.13,0.04,NottinghamForest,39,33,195.2,393.4,139.0,2,224,72.8,1,0.2,43,DEF
Willy Boly,ci CIV,DF,32.0,18,1438.0,16.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,1.5,1.5,1.3,4.0,32.0,3.0,0.13,0.06,0.13,0.19,0.09,0.08,0.18,0.09,NottinghamForest,58,26,100.5,480.0,200.0,7,275,78.1,3,0.5,45,DEF
Matt Turner,us USA,GK,29.0,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NottinghamForest,41,28,0.0,379.6,0.0,0,278,37.9,2,8.6,37,GK
Matz Sels,be BEL,GK,31.0,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NottinghamForest,34,27,10.0,293.2,0.0,1,206,30.3,1,0.2,45,GK
Harry Toffolo,eng ENG,DF,27.0,15,1459.0,16.2,1.0,3.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,1.5,10.0,42.0,34.0,0.06,0.19,0.06,0.25,0.1,0.1,0.2,0.1,NottinghamForest,52,29,268.4,355.0,171.0,3,263,79.3,2,0.1,44,DEF
Ibrahim Sangaré,ci CIV,MF,25.0,13,1035.0,11.5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,0.4,5.0,44.0,7.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,NottinghamForest,25,16,112.9,168.8,43.0,0,89,32.5,4,0.0,49,MID
Taiwo Awoniyi,ng NGA,FW,25.0,12,1042.0,11.6,6.0,3.0,6.0,0.0,0.0,2.0,0.0,4.7,4.7,1.7,8.0,14.0,45.0,0.52,0.26,0.52,0.78,0.41,0.15,0.56,0.41,NottinghamForest,67,21,134.4,303.2,308.0,5,247,74.2,3,1.3,63,FWD
